name,price_mkd,image_url,in_stock
"ATX Micro Case Deepcool CG380 3F Black Panoramic Glass w/USB 3.0 x2, 3x120mm ARGB Fans",3680,https://www.anhoch.com/storage/media/r-cg380-bkagm3-g.jpg,yes
ATX Midi Tower Case Matrix MX-11 w/ 700W PSU Black,1690,https://www.anhoch.com/storage/media/mx11_1-02.jpg,yes
"ATX Midi Tower Case Deepcool CC560 MESH V2 ARGB Black w/USB 3.0, 4x 120mm LED Fans",3980,https://www.anhoch.com/storage/media/r-cc560-bkama4-g-2-2.jpg,yes
"ATX Midi Tower Case Sharkoon AK5G White ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5980,https://www.anhoch.com/storage/media/ak5grgbwh.jpg,yes
"ATX Micro Case Deepcool CG380 3F White Panoramic Glass w/USB 3.0 x2, 3x120mm ARGB Fans",3680,https://www.anhoch.com/storage/media/r-cg380-whagm3-g.jpg,yes
"ATX Midi Tower Case Matrix MX-17 Black w/USB 3.0, 4x 120mm LED Fans",2490,https://www.anhoch.com/storage/media/mx17.jpg,yes
ATX Mid Tower Case White Shark GCC-2402 PANZER-2 Black,1480,https://www.anhoch.com/storage/media/panzer-2-(1)___thumb_600_600.jpg,yes
"ATX Micro Case Deepcool MATREXX 40 w/USB 3.0, 2x USB 2.0, x2 120mm Fans",2990,https://www.anhoch.com/storage/media/dpmatxmatrexx403fs.jpg,yes
"ATX Midi Tower Case SAMA SV-01 White ARGB w/USB 3.0, Type-C, 4x 120mm LED Fans",4480,https://www.anhoch.com/storage/media/sv-01white.jpg,yes
ATX Midi Tower Case Fury Shobo Gaming Black RGB w/o PSU,2980,https://www.anhoch.com/storage/media/nfo2154.jpg,yes
"ATX Midi Tower Case SAMA 2851A White ARGB w/USB 3.0, Type-C, 4x 120mm LED Fans",5580,https://www.anhoch.com/storage/media/2851awhite.jpg,yes
ATX Midi Tower Case Genesis Diaxid 605 Gaming ARGB w/4x ARGB Fans White,5680,https://www.anhoch.com/storage/media/npc-2173.jpg,yes
"ATX Midi Tower Case Deepcool CC560 V2 Black w/USB 3.0, USB 2.0, 4x 120mm LED Fans",3180,https://www.anhoch.com/storage/media/rcc560bkgaa4g2-01.jpg,yes
"ATX Midi Tower Case Deepcool CC560 V2 White w/USB 3.0, USB 2.0, 4x 120mm LED Fans",3280,https://www.anhoch.com/storage/media/rcc560whgaa4g2--1.jpg,yes
"ATX Midi Tower Case Deepcool CC560 V2 ARGB Black w/USB 3.0, USB 2.0, 4x 120mm LED Fans",3780,https://www.anhoch.com/storage/media/rcc560bktaa4g2.jpg,yes
"ATX Micro Case Deepcool MATREXX 30 w/USB 3.0, 2x USB 2.0, 120mm Fan",2280,https://www.anhoch.com/storage/media/dpmatxmatrexx30_1.jpg,yes
"ATX / E-ATX Midi Tower Case Deepcool CH690 Digital White w/USB 3.0 x2, Type-C",5480,https://www.anhoch.com/storage/media/r-ch690-whnna0d-g-1.jpg,yes
"ATX Mid Tower Case MSI MAG FORGE 112R ARGB w/2xUSB 3.2, 4x 120mm Fans",5380,https://www.anhoch.com/storage/media/magforge112r.jpg,yes
"ATX Midi Tower Case Sharkoon Rebel C50 Black ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",4980,https://www.anhoch.com/storage/media/rebelc50bkrgb.jpg,yes
"ATX Micro Tower Case DarkFlash B275 PRO White w/USB 3.0, USB 2.0, 6x 120mm LED Fans",4280,https://www.anhoch.com/storage/media/b275prowht+6f.jpg,yes
"ATX Micro Case Deepcool CG330 3F Black Panoramic Glass w/USB 3.0 x1 USB 2.0x2, 3x120mm ARGB Fans",3880,https://www.anhoch.com/storage/media/r-cg330-bkngm3-g.jpg,yes
"ATX Micro Case Deepcool CG330 3F White Panoramic Glass w/USB 3.0 x1 USB 2.0x2, 3x120mm ARGB Fans",3880,https://www.anhoch.com/storage/media/r-cg330-whngm3-g.jpg,yes
"ATX Micro Case Deepcool CG380U 3F Black Curved Panoramic Glass w/USB 3.0 x2, 3x120mm ARGB Fans",4680,https://www.anhoch.com/storage/media/r-cg380u-bkagm3-g.jpg,yes
"ATX Midi Tower Case Deepcool CG530 4F Black Panoramic Glass w/USB 3.0 x2, 4x120mm ARGB Fans",4480,https://www.anhoch.com/storage/media/r-cg530-bkada4-g-1.jpg,yes
"ATX Midi Tower Case Deepcool CG530U 4F Black Curved Panoramic Glass w/USB 3.0, 4x120mm ARGB Fans",5680,https://www.anhoch.com/storage/media/r-cg530u-bkaga4-g.jpg,yes
"ATX Midi Tower Case Deepcool CG530 4F White Panoramic Glass w/USB 3.0 x2, 4x120mm ARGB Fans",4580,https://www.anhoch.com/storage/media/r-cg530-whada4-g-1.jpg,yes
"ATX Midi Tower Case Deepcool CG530U 4F White Curved Panoramic Glass w/USB 3.0, 4x120mm ARGB Fans",5680,https://www.anhoch.com/storage/media/r-cg530u-whaga4-g.jpg,yes
"ATX Midi Tower Case Deepcool CG590U 5F Black Curved Panoramic Glass w/USB 3.0 х2, 5x120mm ARGB Fans",6980,https://www.anhoch.com/storage/media/r-cg590u-bkaga5-g.jpg,yes
"ATX Micro Case Deepcool Wave V2 w/USB 3.0, 2x USB 2.0",1490,https://www.anhoch.com/storage/media/dpmatxdpwave2_1.jpg,yes
ATX Midi Tower Case Genesis Irid 505 Gaming White ARGB w/o PSU,5480,https://www.anhoch.com/storage/media/npc1872.jpg,yes
"ATX Midi Tower Case Sharkoon Rebel C70G Black ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",4980,https://www.anhoch.com/storage/media/rebelc70gbkrgb.jpg,yes
"ATX Midi Tower Case NZXT H9 Flow (2025) RGB Black w/USB 3.2, Type-C, 1x 420mm (F420 RGB), 1x F120Q",11480,https://www.anhoch.com/storage/media/cm-h92fb-r1.jpg,yes
"ATX Midi Tower Case DarkFlash C365 White w/USB 3.0, USB 2.0, 5x 120mm LED Fans",3980,https://www.anhoch.com/storage/media/c365wht+5f.jpg,yes
ATX Midi Tower Case Gigabyte C500 PANORAMIC STEALTH Black w/4x 120mm ARGB Fans,6480,https://www.anhoch.com/storage/media/gb-c500pst.jpg,yes
ATX Micro Tower Case Genesis Irid 503 V2 Gaming ARGB w/4x ARGB Fans,4480,https://www.anhoch.com/storage/media/z29316_199521.jpg,yes
"ATX Midi Tower Case Sharkoon AK5G Black ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5980,https://www.anhoch.com/storage/media/ak5grgbblk.jpg,yes
"ATX Midi Tower Case Sharkoon AK5M White ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5980,https://www.anhoch.com/storage/media/ak5mrgbwh.jpg,yes
"ATX / E-ATX Midi Tower Case Sharkoon TG7M RGB Black Gaming w/2xUSB 3.0, 4x120mm RGB Fans",3480,https://www.anhoch.com/storage/media/tg7mrgb.jpg,yes
"ATX Midi Tower Case Gigabyte C301 GLASS V2 White w/2xUSB 3.0, USB 3.1 Type-C, 4x 120mm ARGB Fans",5780,https://www.anhoch.com/storage/media/cbc301gw.jpg,yes
"ATX Midi Tower Case Sharkoon RGB HEX w/2xUSB 3.0, Type-C, 6x 120mm Fans",5180,https://www.anhoch.com/storage/media/rgbhex.jpg,yes
"ATX Midi Tower Case DarkFlash C365 Black w/USB 3.0, USB 2.0, 5x 120mm LED Fans",3980,https://www.anhoch.com/storage/media/c365blk+5f.jpg,yes
"ATX Micro Tower Case DarkFlash B275 PRO Black w/USB 3.0, USB 2.0, 6x 120mm LED Fans",4280,https://www.anhoch.com/storage/media/b275problk+6f.jpg,yes
"ATX Midi Tower Case Sharkoon TG4M RGB Gaming w/2xUSB 3.0, 4x120mm RGB Fans",4680,https://www.anhoch.com/storage/media/tg4mrgb.jpg,yes
"ATX Micro Case Sharkoon MS-Z1000 Black w/2x USB 3.0, 1x 80mm Fan, 3x 120mm Fans",1590,https://www.anhoch.com/storage/media/ms-z1000bk.jpg,yes
ATX Micro Tower Case Genesis Irid 503 V2 Gaming Black,3180,https://www.anhoch.com/storage/media/npc1558.jpg,yes
"ATX / E-ATX Midi Tower Case Deepcool CH780 Black ARGB w/4x USB 3.0, 3x 140mm(420mm),  LED Fans",9980,https://www.anhoch.com/storage/media/rch780bkade41g1.jpg,yes
ATX Micro Tower Case White Shark Warhead GCC-2401 ARGB White,3180,https://www.anhoch.com/storage/media/gcc-2401w.jpg,yes
"ATX Mid Tower Case MSI MAG PANO 110R PZ WHITE ARGB w/2xUSB 3.2, Type-C, 4x 120mm Fans",5780,https://www.anhoch.com/storage/media/magpano110rpzwh.jpg,yes
"ATX Midi Tower Case NZXT H7 Flow (2024) RGB Black w/USB 3.2, Type-C, 1x 360mm (F360 RGB)",9780,https://www.anhoch.com/storage/media/cm-h72fb-r1.jpg,yes
"ATX Midi Tower Case Sharkoon AK5M Black ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5980,https://www.anhoch.com/storage/media/ak5mrgbblk.jpg,yes
ATX Midi Tower Case Genesis Irid 505 V2 Gaming ARGB w/o PSU,5480,https://www.anhoch.com/storage/media/npc1518.jpg,yes
"ATX Midi Tower Case Sharkoon AK6 White ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5780,https://www.anhoch.com/storage/media/ak6rgbwh.jpg,yes
ATX Mid Tower Case Thermaltake View 200 TG ARGB Black,4580,https://www.anhoch.com/storage/media/ca1x300m1wn00.jpg,yes
ATX Mid Tower Case Thermaltake H570 TG ARGB Snow Mid Tower Chassis,5780,https://www.anhoch.com/storage/media/ca1t900m6wn01.jpg,yes
ATX Micro Tower Case Genesis Irid 503 Lite Gaming ARGB,3980,https://www.anhoch.com/storage/media/npc-2224.jpg,yes
ATX Micro Tower Case MSI MAG PANO M100R PZ White ARGB w/USB 3.2/Type-C/4x 120mm Fans,6680,https://www.anhoch.com/storage/media/magpanom100rpzwhite-001.jpg,yes
ATX Micro Case Thermaltake AH T200 Black,4980,https://www.anhoch.com/storage/media/ca-1r4-00s1wn-0.jpg,yes
"ATX / E-ATX Midi Tower Case Deepcool CH560 Digital White w/USB 3.0, 3x 140mm, 1x 120mm LED Fans",7480,https://www.anhoch.com/storage/media/rch560whape4dg1-01.jpg,yes
ATX Mid Tower Case Thermaltake S250 TG ARGB Snow,6480,https://www.anhoch.com/storage/media/ca-1y6-00m6wn-00.jpg,yes
"ATX Midi Tower Case NZXT H9 Flow (2025) RGB White w/USB 3.2, Type-C, 1x 420mm (F420 RGB), 1x F120Q",11480,https://www.anhoch.com/storage/media/cm-h92fw-r1.jpg,yes
"ATX Mid Tower Case NZXT H5 Flow (2024) RGB White w/USB 3.2, 1x 360mm (F360 RGB)/ 1x 120mm(F120Q)",6680,https://www.anhoch.com/storage/media/cc-h52fw-r1-.jpg,yes
"ATX / E-ATX Midi Tower Case Sharkoon ELITE SHARK CA300T RGB White w/2xUSB 3.0, 4x120mm RGB Fans",4980,https://www.anhoch.com/storage/media/ca300twh.jpg,yes
"ATX Midi Tower Case Sharkoon AK6 Black ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",5780,https://www.anhoch.com/storage/media/ak6rgbbk.jpg,yes
"ATX Micro Case Gigabyte C102 GLASS ICE w/2xUSB 3.0, 2x 120mm Fans White",3980,https://www.anhoch.com/storage/media/gb-c102gi.jpg,yes
ATX Micro Case Gigabyte C201 PANORAMIC ICE w/2xUSB 3.0 w/3x 120mm ARGB Fans White,4780,https://www.anhoch.com/storage/media/gb-c201pi.jpg,yes
ATX Midi Tower Case Fury Shobo SH8F RGB Gaming Black w/o PSU,3680,https://www.anhoch.com/storage/media/nfo-2402.jpg,yes
"ATX Midi Tower Case Deepcool CL6600 Black w/360 Liquid Cooling System, 2xUSB 3.0, 2x120mm ARGB Fans",11980,https://www.anhoch.com/storage/media/r-cl6600-bknna0-g-1-2.jpg,yes
"ATX / E-ATX Midi Tower Case Sharkoon ELITE SHARK CA200M RGB Black w/2xUSB 3.0, 1x 120mm RGB Fan",3480,https://www.anhoch.com/storage/media/ca200m.jpg,yes
"ATX Micro Case Gigabyte C102 GLASS w/2xUSB 3.0, 2x 120mm Fans Black",3980,https://www.anhoch.com/storage/media/gb-c102g.jpg,yes
"ATX Midi Tower Case Sharkoon RGB WAVE Gaming w/2xUSB 3.0, Type-C, 4x 120mm Fans",4780,https://www.anhoch.com/storage/media/rgbwave.jpg,yes
ATX Mid Tower Case Thermaltake The Tower 500 Snow White,9980,https://www.anhoch.com/storage/media/ca1x100m6wn0.jpg,yes
ATX Micro Tower Case MSI MAG PANO M100R PZ ARGB w/USB 3.2/Type-C/4x 120mm Fans,6680,https://www.anhoch.com/storage/media/magpanom100rpz.jpg,yes
ATX Mid Tower Case Thermaltake Level 20 RS ARGB,5480,https://www.anhoch.com/storage/media/ca-1p8-00m1wn-00.jpg,yes
ATX Midi Tower Case Fury Shobo SH8F Gaming Black w/o PSU,3180,https://www.anhoch.com/storage/media/nfo-2401.jpg,yes
"ATX Midi Tower Case Deepcool CL6600 White w/360 Liquid Cooling System, 2xUSB 3.0, 2x120mm ARGB Fans",12480,https://www.anhoch.com/storage/media/r-cl6600-whnna0-g.jpg,yes
"ATX Mid Tower Case NZXT H5 Flow White (2024) w/USB 3.2, Type-C, 2x 120mm (F120Q)",5980,https://www.anhoch.com/storage/media/cc-h52fw-01.jpg,yes
"ATX Midi Tower Case Deepcool CC560 MESH V2 ARGB White w/USB 3.0, 4x 120mm LED Fans",3980,https://www.anhoch.com/storage/media/r-cc560-whama4-g-2.jpg,yes
"ATX Mid Tower Case Corsair 3000D RGB AIRFLOW White w/Temp. Glass, 2x USB 3.2, 3x120mm (AR120 RGB)",6180,https://www.anhoch.com/storage/media/cc9011256ww_1.jpg,yes
"ATX Micro Case Sharkoon MK3 RGB Black w/2x USB 3.0, USB 2.0, 4x120mm RGB Fans",2980,https://www.anhoch.com/storage/media/mk3rgbbk.jpg,yes
ATX Midi Tower Case Genesis Diaxid 605 Gaming ARGB w/4x ARGB Fans Black,5680,https://www.anhoch.com/storage/media/npc-2172.jpg,yes
"ATX Micro Case Deepcool CH260 Black w/USB 3.0 x2, Type-C",3980,https://www.anhoch.com/storage/media/r-ch260-bkngm0-g-1-01.jpg,yes
"ATX Micro Case Deepcool CH270 DIGITAL White w/USB 3.0 x2, Type-C",4980,https://www.anhoch.com/storage/media/r-ch270-whndm0-g-1.jpg,yes
"ATX Midi Tower Case Sharkoon Rebel C50 White ARGB w/2xUSB 3.0, Type-C USB 3.2, 4x 120mm Fans",4980,https://www.anhoch.com/storage/media/rebelc50whrgb.jpg,yes
ATX Micro Case Thermaltake AH T200 Snow White,4980,https://www.anhoch.com/storage/media/ca-1r4-00s6wn-00.jpg,yes
ATX Micro Case Thermaltake Level 20 VT,4280,https://www.anhoch.com/storage/media/ca-1l2-00s1wn-00.jpg,yes
"ATX Micro Case Deepcool CH260 WOOD Black w/USB 3.0 x2, Type-C",4180,https://www.anhoch.com/storage/media/r-ch260-bknwm0-g-1.jpg,yes
"ATX Micro Case Deepcool CC360 ARGB White w/USB 3.0, USB 2.0, 3x 120mm LED Fans",3280,https://www.anhoch.com/storage/media/rcc360whapm3g1.jpg,yes
"ATX Mid Tower Case Corsair iCUE 4000X ARGB White w/Temp. Glass, USB 3.1 Type-C, 3x 120mm (AirGuide)",8980,https://www.anhoch.com/storage/media/cc9011205ww_1.jpg,yes
"ATX Mid Tower Case Corsair 3000D AIRFLOW White w/Tempered Glass, 2x USB 3.2, 2x120mm (SP120)",5480,https://www.anhoch.com/storage/media/cc9011252ww_1.jpg,yes
ATX Mid Tower Case Thermaltake S200 TG ARGB Mid Tower Chassis Black,4180,https://www.anhoch.com/storage/media/ca1x200m1wn00.jpg,yes
