name,price_mkd,image_url,in_stock
Gigabyte GeForce RTX 3050 WINDFORCE OC V2 6GB GDDR6 2xHDMI/2xDP DX12U PCIe 4.0 WINDFORCE 2X,14280,https://www.anhoch.com/storage/media/gv-n3050wf2ocv2-6gd-2.jpg,yes
MSI GeForce GT710 2GB DDR3 LP HDMI/DVI/VGA Noise Free,3880,https://www.anhoch.com/storage/media/gt7102gd3hlp.jpg,yes
Gigabyte GeForce RTX 5050 WINDFORCE 2X OC 8GB GDDR6 2xHDMI/2xDP DX12U PCIe 5.0,18480,https://www.anhoch.com/storage/media/gv-n5050wf2oc-8gd.jpg,yes
Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0,30980,https://www.anhoch.com/storage/media/gv-n506twf2maxoc-8gd-1.jpg,yes
Gigabyte GeForce RTX 5060 EAGLE OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 2X,24980,https://www.anhoch.com/storage/media/gv-n5060eagleoc-8gd.jpg,yes
Gigabyte GeForce RTX 5060 Ti EAGLE OC ICE 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 2X,30980,https://www.anhoch.com/storage/media/gv-n506teagleocice-8gd.jpg,yes
Gigabyte GeForce RTX 5060 Ti WINDFORCE OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0,29980,https://www.anhoch.com/storage/media/gv-n506twf2oc-8gd.jpg,yes
Gigabyte GeForce RTX 5060 WINDFORCE OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0,23480,https://www.anhoch.com/storage/media/gv-n5060wf2oc-8gd.jpg,yes
Gigabyte GeForce RTX 5060 AERO OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 3X,25480,https://www.anhoch.com/storage/media/gv-n5060aerooc-8gd.jpg,yes
Gigabyte Radeon RX 9070 GRE GAMING OC 12GB GDDR6/2xHDMI 2.1b/2xDP 2.1a/DX12U/PCIe 5.0/WINDFORCE 3X,37980,https://www.anhoch.com/storage/media/gv-r907gregamingoc-12gd.jpg,yes
Gigabyte Radeon RX 9070 XT GAMING OC ICE 16GB GDDR6/2xHDMI 2.1b/2xDP 2.1a/DX12U/PCIe 5.0 White,51980,https://www.anhoch.com/storage/media/gv-r907xgamingocice-16gd.jpg,yes
Thermal Grizzly WireView 2x8pin PCIe GPU Power Consuption Measuring Normal,2480,https://www.anhoch.com/storage/media/tgwvp28n_1.jpg,yes
Gigabyte GeForce RTX 5060 WINDFORCE 2X MAX OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0,23480,https://www.anhoch.com/storage/media/gv-n5060wf2maxoc-8gd.jpg,yes
Gigabyte GeForce RTX 5060 EAGLE OC ICE 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 2X,24980,https://www.anhoch.com/storage/media/gv-n5060eagleocice-8gd.jpg,yes
Gigabyte GeForce RTX 5060 Ti EAGLE OC 8GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 2X,29980,https://www.anhoch.com/storage/media/gv-n506teagleoc-8gd.jpg,yes
Gigabyte GeForce GT710 2GB DDR3 HDMI/DVI/VGA,3980,https://www.anhoch.com/storage/media/gvn710d32gl_1.jpg,yes
Thermal Grizzly WireView 3x8pin PCIe GPU Power Consuption Measuring Normal,2780,https://www.anhoch.com/storage/media/tgwvp38n_1.jpg,yes
Thermal Grizzly WireView 1x12 VHPWR PCIe GPU Power Consuption Measuring Normal,2480,https://www.anhoch.com/storage/media/tgwvh1n_1.jpg,yes
Sapphire AMD PURE Radeon RX 9060 XT GAMING OC 16GB GDDR6 2XHDMI/2xDP Dual-X PCIe 5.0 DX12U WHITE,29980,https://www.anhoch.com/storage/media/11350-02-20g.jpg,yes
Gigabyte AORUS GeForce RTX 5080 MASTER ICE 16GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 3X,103980,https://www.anhoch.com/storage/media/gv-n5080aorusmice-16gd.jpg,yes
Gigabyte GeForce RTX 5070 GAMING OC 12GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 3X,53980,https://www.anhoch.com/storage/media/gv-n5070gamingoc-12gd.jpg,yes
Gigabyte GeForce RTX 5070 EAGLE OC SFF 12GB GDDR7 HDMI/3xDP/DX12U/PCIe 5.0/WINDFORCE 3X,45980,https://www.anhoch.com/storage/media/gv-n5070eagleoc-12gd.jpg,yes
