name,price_mkd,image_url,in_stock
SSD M.2 Samsung NVMe 990 Evo Plus 1TB PCIe 4.0 x4/ 5.0 x2,10980,https://www.anhoch.com/storage/media/mz-v9s1t0bw.jpg,yes
SSD M.2 Samsung NVMe 990 Evo Plus 2TB PCIe 4.0 x4/ 5.0 x2,17980,https://www.anhoch.com/storage/media/mz-v9s2t0bw.jpg,yes
"SSD 2.5"" Kingston A400 Series 960GB 7mm",6980,https://www.anhoch.com/storage/media/sa400s37.jpg,yes
SSD M.2 Verbatim Vi560 512GB SATA3 2280,4480,https://www.anhoch.com/storage/media/46363.jpg,yes
"SSD 2.5"" Kingston A400 Series 480GB 7mm",5980,https://www.anhoch.com/storage/media/sa400s37.jpg,yes
SSD M.2 Samsung NVMe 990 PRO 1TB PCIe 4.0 x4,12980,https://www.anhoch.com/storage/media/mzv9p1t0bw.jpg,yes
SSD M.2 Samsung NVMe 990 PRO 2TB PCIe 4.0 x4,20980,https://www.anhoch.com/storage/media/mzv9p2t0bw.jpg,yes
SSD M.2 Samsung NVMe 990 1TB PCIe 4.0 x4,11980,https://www.anhoch.com/storage/media/02092026155648mz-v9v2t0bw.jpg,yes
"SSD 2.5"" Gigabyte 240GB SATA3 500/420 MB/s",3680,https://www.anhoch.com/storage/media/gpgstfs31240gntd_1.jpg,yes
SSD M.2 500GB Intenso Premium NVMe PCIe 3.0 x 4,5680,https://www.anhoch.com/storage/media/3835450.jpg,yes
"SSD 2.5"" Verbatim Vi550 Series 1TB 7mm SATA3 520/500 MB/s",6980,https://www.anhoch.com/storage/media/49353.jpg,yes
SSD M.2 Verbatim Vi5000 NVMe 512GB PCIe 4.0 x4 5000/2500 MB/s,6980,https://www.anhoch.com/storage/media/31825.jpg,yes
"SSD 2.5"" Samsung 870 Evo 1TB SATA3 AES 256-bit Encr. 560R/530W",11480,https://www.anhoch.com/storage/media/ssd-870-evo.jpg,yes
"SSD 2.5"" Gigabyte 480GB SATA3 550/480 MB/s",5780,https://www.anhoch.com/storage/media/gpgstfs31480gntd_1.jpg,yes
SSD M.2 Kingston Fury Renegade G5 NVMe 1TB PCIe 5.0 2280,18980,https://www.anhoch.com/storage/media/sfyr2s1t0.jpg,yes
SSD M.2 Samsung NVMe 990 2TB PCIe 4.0 x4,21980,https://www.anhoch.com/storage/media/mz-v9v2t0bw.jpg,yes
SSD M.2 Kingston NV3 2280 NVMe 2TB PCIe 4.0 x4 6000/5000 MB/s,15980,https://www.anhoch.com/storage/media/snv3s2000g.jpg,yes
SSD M.2 Kingston NV3 2280 NVMe 1TB PCIe 4.0 x4 6000/4000 MB/s,8980,https://www.anhoch.com/storage/media/snv3s1000g.jpg,yes
SSD M.2 Kingston NV3 2280 NVMe 500GB PCIe 4.0 x4 5000/3000 MB/s,5980,https://www.anhoch.com/storage/media/snv3s500g.jpg,yes
SSD M.2 Crucial NVMe E100 1TB PCIe 4. x4 5000/3000 MB/s,8480,https://www.anhoch.com/storage/media/ct1000e100ssd8.jpg,yes
SSD M.2 Crucial NVMe P310 1TB PCIe 4.0 x4 7100/6000 MB/s,9480,https://www.anhoch.com/storage/media/ct1000p310ssd8.jpg,yes
SSD M.2 2280 Verbatim Vi560 1TB SATA3,5980,https://www.anhoch.com/storage/media/49364.jpg,yes
"SSD 2.5"" Samsung 870 Evo 500GB SATA3 AES 256-bit Encr. 560R/530W",8480,https://www.anhoch.com/storage/media/ssd-870-evo.jpg,yes
"SSD 2.5"" Adata SU650 Series 1TB 7mm SATA3 520/450 MB/s",6480,https://www.anhoch.com/storage/media/asu650ss-1tt-r.jpg,yes
"SSD 2.5"" Gigabyte 256GB SATA3 500/520 MB/s",3880,https://www.anhoch.com/storage/media/gpgstfs31256gtnd_1.jpg,yes
SSD M.2 Samsung NVMe 9100 Pro 1TB PCIe 5.0 x4,17980,https://www.anhoch.com/storage/media/mz-vap1t0bw-3.jpg,yes
SSD M.2 Kingston NV3 2230 NVMe 500GB PCIe 4.0 x4 5000/3000 MB/s,8980,https://www.anhoch.com/storage/media/snv3sm3500g.jpg,yes
SSD M.2 Kingston NV3 2280 NVMe 4TB PCIe 4.0 x4 6000/5000 MB/s,36980,https://www.anhoch.com/storage/media/snv3s4000g.jpg,yes
SSD M.2 Samsung NVMe 990 PRO with Heatsink 2TB PCIe 4.0 x4,22980,https://www.anhoch.com/storage/media/mzv9p2t0cw.jpg,yes
SSD M.2 Kingston Fury Renegade G5 NVMe 2TB PCIe 5.0 2280,28980,https://www.anhoch.com/storage/media/sfyr2s1t0.jpg,yes
SSD M.2 Samsung NVMe 990 PRO with Heatsink 1TB PCIe 4.0 x4,14980,https://www.anhoch.com/storage/media/mzv9p1t0cw.jpg,yes
"SSD 2.5"" Kingston KC600 Series 1024GB 7mm",16980,https://www.anhoch.com/storage/media/skc6001024g_1.jpg,yes
SSD M.2 Samsung NVMe 9100 Pro 2TB PCIe 5.0 x4,27980,https://www.anhoch.com/storage/media/mz-vap1t0bw-3.jpg,yes
SSD M.2 Samsung NVMe 990 Evo Plus 4TB PCIe 4.0 x4/ 5.0 x2,39980,https://www.anhoch.com/storage/media/mz-v9s4t0bw.jpg,no
"SSD 2.5"" Kingston A400 Series 240GB 7mm",4180,https://www.anhoch.com/storage/media/sa400s37.jpg,no
"SSD 2.5"" Kingston DC600M Series 960GB Data Center Enterprise",45980,https://www.anhoch.com/storage/media/sedc600m960g.jpg,no
"SSD 2.5"" Kingston DC600M Series 480GB Data Center Enterprise",32980,https://www.anhoch.com/storage/media/sedc600m480g.jpg,no
Thermal Grizzly M2 SSD Cooler,990,https://www.anhoch.com/storage/media/tgm2ssdabr_1.jpg,no
SSD M.2 Verbatim Vi560 256GB SATA3 2280,3480,https://www.anhoch.com/storage/media/49362.jpg,no
"SSD 2.5"" Kingston KC600 Series 256GB 7mm",6480,https://www.anhoch.com/storage/media/skc600256g_1.jpg,no
"SSD 2.5"" Kingston KC600 Series 512GB 7mm",10980,https://www.anhoch.com/storage/media/skc600512g_1.jpg,no
SSD M.2 Samsung NVMe 9100 Pro with Heatsink 1TB PCIe 5.0 x4,18980,https://www.anhoch.com/storage/media/mz-vap1t0cw3.jpg,no
"SSD 2.5"" Samsung 870 Evo 2TB SATA3 AES 256-bit Encr. 560R/530W",39980,https://www.anhoch.com/storage/media/mz77e2t0beu.jpg,no
SSD M.2 Samsung NVMe 9100 Pro with Heatsink 2TB PCIe 5.0 x4,36980,https://www.anhoch.com/storage/media/mz-vap1t0cw3.jpg,no
