name,price_mkd,image_url,source,in_stock
Процесор AMD Ryzen 7 5800X,16250,https://50cdn.gjirafamall.tech/images/4f315bcf-c6cd-4e9a-ab48-bc654d12d8ce/4f315bcf-c6cd-4e9a-ab48-bc654d12d8ce.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 7 5700X, 3,4 GHz, 8 јадра, 16 нишки, 36 MB кеш, OEM, сребро",11450,https://50cdn.gjirafamall.tech/images/519a8b25-37d9-4fe5-a5d7-d90790124ff3/519a8b25-37d9-4fe5-a5d7-d90790124ff3.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 7 9800X3D, 104 MB",32390,https://50cdn.gjirafamall.tech/images/07ba7d71-236b-4432-a35c-f9c74214bbb3/07ba7d71-236b-4432-a35c-f9c74214bbb3.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 5 5600X, 3.7 GHz, 32 MB, OEM",13090,https://50cdn.gjirafamall.tech/images/b7a7d825-6270-407c-99e2-61716f3606e5/b7a7d825-6270-407c-99e2-61716f3606e5.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 7 7800X3D, 4,2 GHz",27590,https://50cdn.gjirafamall.tech/images/99fd8e0c-f213-4cd6-ad30-eec9965f68ac/99fd8e0c-f213-4cd6-ad30-eec9965f68ac.jpeg,gjirafa50,yes
"Procesor AMD Ryzen Threadripper Pro 7965WX, 4.2GHz, 128MB, OEM",188990,https://50cdn.gjirafamall.tech/images/72e767a3-6c88-48f7-b386-e2a4e1c7616a/72e767a3-6c88-48f7-b386-e2a4e1c7616a.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 5 5600, 3.5 GHz, 32 MB (100-100000927BOX)",10350,https://50cdn.gjirafamall.tech/images/1e4a4fa7-ebd8-4ef1-bf4e-0b64ee1eb49b/1e4a4fa7-ebd8-4ef1-bf4e-0b64ee1eb49b.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 7 7700, 3.8 GHz, 32 MB Cache, i zi",14890,https://50cdn.gjirafamall.tech/images/84b01372-4f66-42d7-ab34-54c4279b31a6/84b01372-4f66-42d7-ab34-54c4279b31a6.jpeg,gjirafa50,yes
"Procesor AMD Ryzen Threadripper 7960X, 4.2 GHz, 128 MB, BOX",92890,https://50cdn.gjirafamall.tech/images/4656dd1c-9bb1-4fb3-acc7-147fe22f5bee/4656dd1c-9bb1-4fb3-acc7-147fe22f5bee.jpeg,gjirafa50,yes
"Procesor Intel Core i5-13600K, 3.5 GHz, 24 MB, OEM",24390,https://50cdn.gjirafamall.tech/images/83bf9952-746c-4ef8-b75c-d075d81b8601/83bf9952-746c-4ef8-b75c-d075d81b8601.jpeg,gjirafa50,yes
[OUTLET] Procesor AMD Ryzen 5 7600X,13090,https://50cdn.gjirafamall.tech/images/13ad29b7-15e6-42d7-b25e-ced218b7be0e/13ad29b7-15e6-42d7-b25e-ced218b7be0e.jpeg,gjirafa50,yes
"Процесор Intel Core i5-14600K, 3,5 GHz, 24 MB, BOX",21090,https://50cdn.gjirafamall.tech/images/eb3c0c9e-2afb-4b2c-a2fe-f01deb0a33a1/eb3c0c9e-2afb-4b2c-a2fe-f01deb0a33a1.jpeg,gjirafa50,yes
Процесор AMD Ryzen 5 8600G,11950,https://50cdn.gjirafamall.tech/images/e211f3c2-dda2-4f95-82d8-776048bc1b78/e211f3c2-dda2-4f95-82d8-776048bc1b78.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 3 4100, 8 x 3.8 GHz, AMD AM4, 65W",5190,https://50cdn.gjirafamall.tech/images/f3c89995-a41c-4aff-b94c-9ac96dbe9ff3/f3c89995-a41c-4aff-b94c-9ac96dbe9ff3.jpeg,gjirafa50,yes
Procesor Intel Core i7-14700,27790,https://50cdn.gjirafamall.tech/images/1c1d9785-af24-42ec-9b74-ddb9cc0ee49b/1c1d9785-af24-42ec-9b74-ddb9cc0ee49b.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 7 5800XT, 3,8 GHz, 32 MB, BOX (100-100001582BOX)",21990,https://50cdn.gjirafamall.tech/images/1050f7f9-cf17-4399-86ee-0daf268f0044/1050f7f9-cf17-4399-86ee-0daf268f0044.jpeg,gjirafa50,yes
Procesor Intel Core i5-14600KF,17790,https://50cdn.gjirafamall.tech/images/6e766be2-bf07-45f3-aa98-24a5ad7acda8/6e766be2-bf07-45f3-aa98-24a5ad7acda8.jpeg,gjirafa50,yes
"Procesor Intel Core i7-9700 (CM8068403874521), 3GHz, 12 MB, OEM",25190,https://50cdn.gjirafamall.tech/images/94bcc42f-2044-4e93-b967-6a9f44b2b1b2/94bcc42f-2044-4e93-b967-6a9f44b2b1b2.jpeg,gjirafa50,yes
"Процесор Intel Core i5-14400 (CM8071504821112), 2.5 GHz, 10 јадра, сокет 1700, 20 MB кеш, OEM",17590,https://50cdn.gjirafamall.tech/images/657ee733-ad03-4775-a10e-274fc49ec426/657ee733-ad03-4775-a10e-274fc49ec426.jpeg,gjirafa50,yes
16-јадрен процесор AMD Ryzen 9 9950X3D,44390,https://50cdn.gjirafamall.tech/images/3786600b-176a-4251-a705-43eb438e773d/3786600b-176a-4251-a705-43eb438e773d.jpeg,gjirafa50,yes
Procesor Intel i9-14900K,35790,https://50cdn.gjirafamall.tech/images/7d4a58e1-2bfa-44ed-8b62-f18b3d86d595/7d4a58e1-2bfa-44ed-8b62-f18b3d86d595.jpeg,gjirafa50,yes
Procesor Intel Core i5-14600KF,19290,https://50cdn.gjirafamall.tech/images/01b2e9a1-ec08-46b7-9820-cbfeec5e6874/01b2e9a1-ec08-46b7-9820-cbfeec5e6874.jpeg,gjirafa50,yes
"Процесор Intel Core i5-14600 (CM8071504821018), 2,7 GHz, 14 јадра, Socket 1700, 24 MB, OEM",23390,https://50cdn.gjirafamall.tech/images/9268f5c1-5d2b-49ee-8d2b-c31e84ab0e8c/9268f5c1-5d2b-49ee-8d2b-c31e84ab0e8c.jpeg,gjirafa50,yes
"Процесор AMD Ryzen Threadripper Pro 5965WX (100-000000446), 24 ѝјадра, Socket sWRX8, 3,8 GHz, 128 MB, OEM",168190,https://50cdn.gjirafamall.tech/images/2669602a-f8bc-497f-a8ba-427d48b01116/2669602a-f8bc-497f-a8ba-427d48b01116.jpeg,gjirafa50,yes
"Процесор AMD Ryzen Threadripper Pro 5995WX, 2,7 GHz, 256 MB, OEM",444990,https://50cdn.gjirafamall.tech/images/895a1497-0ab5-497d-b2c6-3d22cb83ef49/895a1497-0ab5-497d-b2c6-3d22cb83ef49.jpeg,gjirafa50,yes
"Procesor AMD Ryzen Threadripper Pro 7985WX, 3.2 GHz, 256 MB, BOX (100-100000454WOF)",548690,https://50cdn.gjirafamall.tech/images/76711bd1-38ce-4bab-8266-c736ab89174c/76711bd1-38ce-4bab-8266-c736ab89174c.jpeg,gjirafa50,yes
