name,price_mkd,image_url,source,in_stock
"Графичка картичка GIGABYTE NVIDIA GeForce RTX 4070, 12 GB GDDR6X, GV-N4070WF3OC-12GD",42450,https://50cdn.gjirafamall.tech/images/284e3214-df16-4ad6-b907-4d860661f835/284e3214-df16-4ad6-b907-4d860661f835.jpeg,gjirafa50,yes
Графичка картичка PNY GeForce RTX 4060 Ti Verto Dual Fan 8GB GDDR6,27950,https://50cdn.gjirafamall.tech/images/3c5c18d3-6c07-45e7-b9db-d9f466df0e56/3c5c18d3-6c07-45e7-b9db-d9f466df0e56.jpeg,gjirafa50,yes
"Графичка картичка Zotac GAMING NVIDIA GeForce RTX 3070 Ti Trinity, 8GB GDDR6X",43450,https://50cdn.gjirafamall.tech/images/41b367dc-305b-401e-a5bc-98dba7585e75/41b367dc-305b-401e-a5bc-98dba7585e75.jpeg,gjirafa50,yes
"Графичка картичка XFX Mercury AMD Radeon RX 9060 XT OC Gaming, 16GB, бела",48390,https://50cdn.gjirafamall.tech/images/84da1d1d-571e-44b1-a0df-d10d75bb13a4/84da1d1d-571e-44b1-a0df-d10d75bb13a4.jpeg,gjirafa50,yes
Графичка картичка Gigabyte Radeon RX 7600 Gaming OC 8GB GDDR6,23890,https://50cdn.gjirafamall.tech/images/5647b6fa-f897-4941-b10e-86fc483d7712/5647b6fa-f897-4941-b10e-86fc483d7712.jpeg,gjirafa50,yes
Kartelë grafike Gigabyte GeForce RTX 4060 WINDFORCE OC 8G NVIDIA 8 GB GDDR6,22150,https://50cdn.gjirafamall.tech/images/e91ce041-68f0-47aa-b3a4-8b69d780b108/e91ce041-68f0-47aa-b3a4-8b69d780b108.jpeg,gjirafa50,yes
Графичка картичка Gigabyte GeForce RTX 3050 OC Low Profile 6GB GDDR6,26090,https://50cdn.gjirafamall.tech/images/ccf139e2-d82f-4a24-a262-84726545caeb/ccf139e2-d82f-4a24-a262-84726545caeb.jpeg,gjirafa50,yes
Графичка картичка AMD Radeon Pro WX 3200 4GB GDDR5,10290,https://50cdn.gjirafamall.tech/images/8da3343a-88a1-401a-9160-2f05e45101e2/8da3343a-88a1-401a-9160-2f05e45101e2.jpeg,gjirafa50,yes
Графичка картичка Zotac Gaming GeForce RTX 3050 Eco Solo 8GB GDDR6,29390,https://50cdn.gjirafamall.tech/images/87ede0b2-7fcd-4c1c-96c0-f4c353d6a555/87ede0b2-7fcd-4c1c-96c0-f4c353d6a555.jpeg,gjirafa50,yes
Графичка картичка XFX Speedster SWFT 210 Radeon RX 7600 8GB GDDR6,24790,https://50cdn.gjirafamall.tech/images/78ca7c75-aeb7-49f7-b836-f9e37ffd2445/78ca7c75-aeb7-49f7-b836-f9e37ffd2445.jpeg,gjirafa50,yes
