name,price_mkd,image_url,source,in_stock
Intel Celeron G3900 2.9GHz Tray,1999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/33483_0-01JVW5WP5NR73A26KXM84ZVWS2.webp,setec,no
AMD A6-Series X2 5400K 3.60GHz,2999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34337_0-01JWR73D8SSGX4HX8C7W1YKA09.webp,setec,no
CPU AMD Ryzen 5 5500 TRAY,3399,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63804_CPU AMD Ryzen 5 5500 TRAY-01K808MHGHKJW4QZ5H7VVCF787.jpg,setec,no
Intel Core i3 12100F TRAY LGA1700 12MB Cache 3,3499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/62420_0-01JWDZE7D2SP4NTKPJNZN1MEG2.webp,setec,no
CPU AMD AM4 Ryzen 5 3400G Box 3.7GHz  MAX Boost 4.2GHz 6MB,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34391_CPU%20AMD%20AM4%20Ryzen%205%203400G%20Box%203.7GHz%20MAX%20Boost%204.2GHz%206MB%2065W%20Radeon%20RX%20Vega%2011-01KXQP9BG51C9M6RM5Y2ZPKBTN.jpg,setec,yes
Intel i3-10100F 3.6 GHz up to 4.3 GHz,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/33488_0-01JWDY5S0NHDR4AVCGNTV2S9AH.webp,setec,yes
"Procesor AMD Ryzen 3 4100, 8 x 3.8 GHz, AMD AM4, 65W",5190,https://50cdn.gjirafamall.tech/images/f3c89995-a41c-4aff-b94c-9ac96dbe9ff3/f3c89995-a41c-4aff-b94c-9ac96dbe9ff3.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 5500 BOX,5499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88472_CPU%20AMD%20Ryzen%205%205500%20BOX-01KGPGMRWS7ZTB3YZAAA441PAE.jpg,setec,yes
"Процесор AMD Ryzen 5 4500, 3.6 GHz, 8 MB, BOX",6490,https://50cdn.gjirafamall.tech/images/7a79a350-4d3a-428e-abb7-1337be2dd191/7a79a350-4d3a-428e-abb7-1337be2dd191.jpeg,gjirafa50,no
CPU AMD Ryzen 5 8400F AM5 / 65W TRAY,6999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63634_CPU AMD Ryzen 5 8400F AM5 TRAY-01K62DWB926BS3A13TYEP6VMFS.jpg,setec,yes
Intel i3-14100F BOX LGA1700 12MB Cache 4.7GHz,6999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/58510_0-01JVA76XPJ0ZFAYR6MDP6D868N.webp,setec,yes
CPU AMD Ryzen 5 5600X Box,7499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34403_0-01JVYC84NVHFZFEMGKEPPSR9MC.webp,setec,yes
"Procesor AMD Ryzen 5 5500, 3.6 GHz, 16 MB, BOX (100-100000457BOX)",7590,https://50cdn.gjirafamall.tech/images/68fe4d34-1cb9-4ece-85e0-347327ce13b2/68fe4d34-1cb9-4ece-85e0-347327ce13b2.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 7500F AM5 / 65W TRAY,7599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59387_0-01JVYCKRNVMPSZR34FJ45C73RK.webp,setec,yes
Процесор AMD Ryzen 5 8400F,8090,https://50cdn.gjirafamall.tech/images/daf10b1a-ef4c-4a3b-9bad-8ba71818349b/daf10b1a-ef4c-4a3b-9bad-8ba71818349b.jpeg,gjirafa50,no
"Процесор Intel Core i3-14100F (CM8071505092207), 3.5 GHz, 4 јадра, Socket 1700, 12 MB кеш меморија, OEM.",8490,https://50cdn.gjirafamall.tech/images/e2129791-f1b6-4c5e-bda8-19bd27b034e5/e2129791-f1b6-4c5e-bda8-19bd27b034e5.jpeg,gjirafa50,yes
"Procesor Intel Core i3-13100F (BX8071513100F), 3.4 GHz, 4 bërthama, 12 MB, BOX",9190,https://50cdn.gjirafamall.tech/images/8789b906-8ce7-4d13-91d5-321ea17d3bb3/8789b906-8ce7-4d13-91d5-321ea17d3bb3.jpeg,gjirafa50,no
Intel i5-14400F TRAY LGA 1700 20MB Cache 4.7GHz,9299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/Intel%20i5-14400F%20TRAY%20LGA%201700%2020MB%20Cache%204.7GHz_63357-01M005DXFQXV949B0MKNXHDDTB.png,setec,yes
CPU AMD Ryzen 5 7600X no fan BOX,9499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34418_0-01JVYC8533S3X2C3Z4VHF3NV40.webp,setec,yes
CPU AMD Ryzen 7 5700X Tray (No Cooler),9499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63078_CPU AMD Ryzen 7 5700X Tray-01JXW9TA5QDDK5209M41NVCYC2.jpg,setec,yes
"Процесор Intel Core i3-14100F (BX8071514100F), 3.5 GHz, 4 јадра, Socket 1700, 12 MB, BOX",9590,https://50cdn.gjirafamall.tech/images/18074d00-3a1e-4ff5-bd43-eb8b575a5b2b/18074d00-3a1e-4ff5-bd43-eb8b575a5b2b.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 7600X 6-Core 4.7GHz 32MB Cache AM5 w/o Cooler BOX,9999,https://www.neptun.mk/2024/11/12/41j61j9aZGL.ACUF10001000QL80_c152c394-22cb-4d0c-a09e-abc840b0387a.jpg,neptun,no
"Procesor Intel Pentium G7400, 3.7GHz, 6 MB",10290,https://50cdn.gjirafamall.tech/images/09e64980-7dfa-4d29-9600-a43b52706f94/09e64980-7dfa-4d29-9600-a43b52706f94.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 5 5600, 3.5 GHz, 32 MB (100-100000927BOX)",10350,https://50cdn.gjirafamall.tech/images/1e4a4fa7-ebd8-4ef1-bf4e-0b64ee1eb49b/1e4a4fa7-ebd8-4ef1-bf4e-0b64ee1eb49b.jpeg,gjirafa50,yes
CPU Intel Core i5-14400F 10-Core E1.8GHz/P2.5GHz 20MB Cache LGA1700 w/o Graphics BOX,10499,https://www.neptun.mk/2024/11/08/BK8iHWeFAsZ08T6wX4AUxFW6Vjaq6w2dwNb8w7L1_ff0aed15-5aef-4ca9-af2c-dcc8fd68bd27.jpg,neptun,no
