name,price_mkd,image_url,source,in_stock
Kartelë grafike AFOX GeForce 210 512MB DDR3,2590,https://50cdn.gjirafamall.tech/images/3ab37523-ccac-4b4c-9990-74b7b9371f5f/3ab37523-ccac-4b4c-9990-74b7b9371f5f.jpeg,gjirafa50,no
Графичка картичка AFOX GeForce GT 210 1GB DDR2,2890,https://50cdn.gjirafamall.tech/images/ae9c8566-a02d-4c3f-aed6-850d2b932025/ae9c8566-a02d-4c3f-aed6-850d2b932025.jpeg,gjirafa50,yes
Графичка картичка AFOX GeForce GT 240 1GB DDR3,3190,https://50cdn.gjirafamall.tech/images/d97fd203-c00e-4667-922d-984689e86dc7/d97fd203-c00e-4667-922d-984689e86dc7.jpeg,gjirafa50,yes
AFOX Geforce GT710,3195,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17269_0-01JVA6DSCKQMKH88HG91BCMZC2.webp,setec,yes
"Графичка картичка Biostar NVIDIA GeForce 210, 1 GB GDDR3",3290,https://50cdn.gjirafamall.tech/images/3b570239-4937-4424-ad33-1e23fb9fc9e7/3b570239-4937-4424-ad33-1e23fb9fc9e7.jpeg,gjirafa50,no
AFOX Geforce GT730,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17404_0-01JVW5KFG104E3AWNHHWFC4QNV.webp,setec,yes
Графичка картичка Biostar GeForce GT 610 2GB DDR3,4290,https://50cdn.gjirafamall.tech/images/2b138d4f-5f0b-4631-ba63-9946301267e3/2b138d4f-5f0b-4631-ba63-9946301267e3.jpeg,gjirafa50,yes
Графичка картичка MSI GeForce GT 710 Low Profile 2GB DDR3,4590,https://50cdn.gjirafamall.tech/images/fd70a6ce-3423-4054-a283-4ae1a2c43d5a/fd70a6ce-3423-4054-a283-4ae1a2c43d5a.jpeg,gjirafa50,yes
"Графичка картичка Biostar GeForce GT 610, 2GB DDR3, HDMI, црна",4990,https://50cdn.gjirafamall.tech/images/6ad604cd-dbac-46c0-8237-8ce892a2f9a1/6ad604cd-dbac-46c0-8237-8ce892a2f9a1.jpeg,gjirafa50,no
Графичка картичка Asus GeForce GT 710 2GB GDDR5 EVO,5290,https://50cdn.gjirafamall.tech/images/537035fc-b539-4644-a73b-89fea624270a/537035fc-b539-4644-a73b-89fea624270a.jpeg,gjirafa50,yes
Графичка картичка Zotac GeForce GT 710 2GB DDR3,5390,https://50cdn.gjirafamall.tech/images/6b4635fd-86f1-4352-98db-e838112d7a9a/6b4635fd-86f1-4352-98db-e838112d7a9a.jpeg,gjirafa50,yes
Графичка картичка Biostar GeForce GT 730 2GB DDR3,5490,https://50cdn.gjirafamall.tech/images/f093e2e6-7f60-4e95-9e79-bcb6f446a784/f093e2e6-7f60-4e95-9e79-bcb6f446a784.jpeg,gjirafa50,yes
AFOX AMD Radeon RX550 4GB GDDR5,5995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17734_0-01JWDZBVH1GEWW32269FRTBS27.webp,setec,yes
