name,price_mkd,image_url,source,in_stock
J&A 4GB 2400MHz DDR4 Non-ECC DIMM,699,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26565_0-01JVYEZR7VK442PXAYTA1Y37PG.webp,setec,yes
"Оперативна меморија G.Skill DDR3, 4GB, 1333MHz, CL9 (F310600CL9S4GBNT)",990,https://50cdn.gjirafamall.tech/images/e8e90930-b646-4e6a-8855-1d8888c4e32c/e8e90930-b646-4e6a-8855-1d8888c4e32c.jpeg,gjirafa50,no
"меморија  Patriot Signature, DDR3, 4 GB, 1600 MHz, CL11, PSD34G160081",990,https://50cdn.gjirafamall.tech/images/167f1215-06af-4351-a4f5-910997a3b694/167f1215-06af-4351-a4f5-910997a3b694.jpeg,gjirafa50,no
Kingston HyperX Blu 4GB 1600MHz (1x4GB) DDR3 Non-ECC CL9 240-pin DIMM,1049,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/25798_0-01JVYEZNNPWHR0SBCA7ZSF3G5C.webp,setec,no
ADATA DDR4 4GB 2666 MHz,1299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/28910_0-01JVYF0VTT2V5TNY12HYJVXVH3.webp,setec,yes
Kingston 4GB 2666MHz DDR4 Non-ECC CL19 DIMM,1299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26753_0-01JVYF0CXKFQSSBNNK5T86T8FF.webp,setec,yes
"меморија  G.Skill Aegis, DDR3, 8 GB, 1333 MHz, CL9, F3-1333C9S-8GIS",1390,https://50cdn.gjirafamall.tech/images/96e01a5b-5013-4ad9-98b9-f5a268d58075/96e01a5b-5013-4ad9-98b9-f5a268d58075.jpeg,gjirafa50,no
"меморија  HIKSEMI Hiker, DDR3, 8 GB, 1600 MHz, CL11, HSC308U16Z1",1390,https://50cdn.gjirafamall.tech/images/8995912c-b31b-4d24-b753-d0cd69f83485/8995912c-b31b-4d24-b753-d0cd69f83485.jpeg,gjirafa50,no
"меморија  PNY DDR3, 8 GB, 1600 MHz, CL11, DIM8GBN12800/3-SB",1490,https://50cdn.gjirafamall.tech/images/cb80b0ad-d2d8-4edb-bd4f-d35ef7358a46/cb80b0ad-d2d8-4edb-bd4f-d35ef7358a46.jpeg,gjirafa50,yes
ADATA DDR4 4GB,1495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26927_0-01JVA6NBAG85WZV1AWXF9KCADZ.webp,setec,yes
"меморија  AFOX DDR3, 8 GB, 1333 MHz, CL9, AFLD38AK1P",1790,https://50cdn.gjirafamall.tech/images/fce30dea-a97a-4c78-b0e2-c474e4eab9be/fce30dea-a97a-4c78-b0e2-c474e4eab9be.jpeg,gjirafa50,yes
"меморија  Silicon Power DDR3L, 4 GB, 1600 MHz, CL11, SP004GLLTU160N02",1790,https://50cdn.gjirafamall.tech/images/893e642a-be07-442d-aea0-a46062684c1a/893e642a-be07-442d-aea0-a46062684c1a.jpeg,gjirafa50,no
"меморија  AFOX DDR3, 8 GB, 1600 MHz, CL11, AFLD38BK1P",1990,https://50cdn.gjirafamall.tech/images/b8c24bb9-2485-4b00-8111-7757a54ab273/b8c24bb9-2485-4b00-8111-7757a54ab273.jpeg,gjirafa50,yes
"меморија  AFOX DDR3L, 8 GB, 1600 MHz, CL11, AFLD38BK1L",1990,https://50cdn.gjirafamall.tech/images/2032ca41-1720-4e53-b260-ff80afd8f822/2032ca41-1720-4e53-b260-ff80afd8f822.jpeg,gjirafa50,yes
"меморија  ProXtend DDR3L, 4 GB, 1600 MHz, CL11, D-DDR3-4GB-004",1990,https://50cdn.gjirafamall.tech/images/0bb70f02-a41f-4552-b7ce-959e51df925d/0bb70f02-a41f-4552-b7ce-959e51df925d.jpeg,gjirafa50,yes
"меморија  Kingston DDR3, 4 GB, 1600 MHz, CL11, KCP316NS8/4",2090,https://50cdn.gjirafamall.tech/images/417b409b-879c-4428-ad31-aadf562fb8d2/417b409b-879c-4428-ad31-aadf562fb8d2.jpeg,gjirafa50,no
"Рам меморија Renov8 DDR3, 4GB, 1866MHz, R8-HC-E2Q91AT",2190,https://50cdn.gjirafamall.tech/images/d0da65b4-17cb-4f90-b7b2-305777d583a3/d0da65b4-17cb-4f90-b7b2-305777d583a3.jpeg,gjirafa50,yes
"меморија  PNY XLR8 Gaming Epic-X RGB, DDR4, 8 GB, 3200 MHz, CL16, MD8GD4320016XRGB-SI",2290,https://50cdn.gjirafamall.tech/images/774c3cc7-3aba-4cec-9790-b9df7af3a0f9/774c3cc7-3aba-4cec-9790-b9df7af3a0f9.jpeg,gjirafa50,no
"Memorie RAM CoreParts MMKN093, 4GB DDR3, 240-pin DIMM, e gjelbër",2390,https://50cdn.gjirafamall.tech/images/ee730771-230a-40c8-9fef-01eb1d36dbf3/ee730771-230a-40c8-9fef-01eb1d36dbf3.jpeg,gjirafa50,yes
"меморија  GoodRam IRDM X, DDR4, 8 GB, 3200 MHz, CL16, IR-XB3200D464L16SA/8G",2390,https://50cdn.gjirafamall.tech/images/bb1e91ab-be4c-4512-b5f0-4a2e1976ccba/bb1e91ab-be4c-4512-b5f0-4a2e1976ccba.jpeg,gjirafa50,no
"меморија  Origin DDR3, 8 GB, 1600 MHz, CL8, OM8G31600U2RX8NE15",2490,https://50cdn.gjirafamall.tech/images/accface0-7334-416e-a186-54540a7e4007/accface0-7334-416e-a186-54540a7e4007.jpeg,gjirafa50,no
Kingston 8GB 1600MHz DDR3L 1.35V,2499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26173_Kingston%208GB%201600MHz%20DDR3L%201.35V-01KVCTDNDQPZD1R9ES0PVYHVKV.jpg,setec,no
"RAM меморија AFOX DDR3 8GB, 1866MHz, DIMM, зелена",2590,https://50cdn.gjirafamall.tech/images/bd238be5-2eee-4665-af72-850d81e7ecc7/bd238be5-2eee-4665-af72-850d81e7ecc7.jpeg,gjirafa50,yes
"Меморија РАМ CoreParts KN.2GB07.002-MM, 2GB DDR3, 1333MHz",2690,https://50cdn.gjirafamall.tech/images/3d5818c5-dfb3-4bc3-8923-ecceac2ba869/3d5818c5-dfb3-4bc3-8923-ecceac2ba869.jpeg,gjirafa50,no
"меморија  Patriot Signature, DDR3, 8 GB, 1333 MHz, CL9, PSD38G13332",2790,https://50cdn.gjirafamall.tech/images/4c71f56e-049d-4066-ba4d-486c5213f0cd/4c71f56e-049d-4066-ba4d-486c5213f0cd.jpeg,gjirafa50,yes
"меморија  Patriot Signature, DDR3, 8 GB, 1600 MHz, CL11, PSD38G16002",2890,https://50cdn.gjirafamall.tech/images/9856d0ef-6eff-4cf0-b0e3-8d50644722d9/9856d0ef-6eff-4cf0-b0e3-8d50644722d9.jpeg,gjirafa50,yes
"меморија  Silicon Power DDR3, 8 GB, 1600 MHz, CL11, SP008GBLTU160N02",2990,https://50cdn.gjirafamall.tech/images/a87bfa26-9425-4fbe-8b18-9cf80ff8d764/a87bfa26-9425-4fbe-8b18-9cf80ff8d764.jpeg,gjirafa50,no
"RAM memorie G.Skill Aegis (F3-1600C11S-4GIS), DDR3, 4 GB, 1600 MHz, CL11",3090,https://50cdn.gjirafamall.tech/images/e5908d44-263f-46c2-aaf4-090291d95f96/e5908d44-263f-46c2-aaf4-090291d95f96.jpeg,gjirafa50,yes
"RAM меморија Innovation IT DDR3, 8GB, 1600MHz CL11",3190,https://50cdn.gjirafamall.tech/images/4ee08760-40d3-41bf-a316-d15794d38e44/4ee08760-40d3-41bf-a316-d15794d38e44.jpeg,gjirafa50,yes
"меморија  Apacer NOX Gaming, DDR4, 16 GB, 3200 MHz, CL16, AH4U16G32C28YMBAA-1",3490,https://50cdn.gjirafamall.tech/images/10273ade-b586-4169-9f49-afd9a2861cee/10273ade-b586-4169-9f49-afd9a2861cee.jpeg,gjirafa50,no
"меморија  Kingston ValueRAM, DDR3L, 4 GB, 1600 MHz, CL11, KVR16LN11/4",3490,https://50cdn.gjirafamall.tech/images/32f00700-6fc0-4afc-866b-6544a912eb1f/32f00700-6fc0-4afc-866b-6544a912eb1f.jpeg,gjirafa50,yes
"меморија  GoodRam IRDM X, DDR4, 16 GB, 3200 MHz, CL16, IR-XW3200D464L16SA/16GDC",3590,https://50cdn.gjirafamall.tech/images/07f07532-3d8a-4058-b60b-a23ef14b5a37/07f07532-3d8a-4058-b60b-a23ef14b5a37.jpeg,gjirafa50,no
"Меморија РАМ CoreParts MMHP131, 8GB, DDR3 1333MHz, за десктоп",3790,https://50cdn.gjirafamall.tech/images/71c698ab-ec63-40ba-afe1-31e54150275d/71c698ab-ec63-40ba-afe1-31e54150275d.jpeg,gjirafa50,no
"меморија  G.Skill NT, DDR3, 8 GB, 1600 MHz, CL11, F3-1600C11S-8GNT",3790,https://50cdn.gjirafamall.tech/images/3a56012b-edf5-477f-a7fb-8f0f7485a70a/3a56012b-edf5-477f-a7fb-8f0f7485a70a.jpeg,gjirafa50,yes
"меморија  GoodRam DDR4, 8 GB, 2400 MHz, CL17, GR2400D464L17S/8G",3850,https://50cdn.gjirafamall.tech/images/717c88e0-6b17-46d1-a097-02c0ae6bfa26/717c88e0-6b17-46d1-a097-02c0ae6bfa26.jpeg,gjirafa50,yes
"Рам меморија CoreParts MMG2495, 8GB DDR3, 1600MHz",3990,https://50cdn.gjirafamall.tech/images/6a18d877-3439-476c-93fb-827b490ebe81/6a18d877-3439-476c-93fb-827b490ebe81.jpeg,gjirafa50,no
"RAM меморија MicroMemory MMG2511/8GB, DDR3, 8GB, 1600MHz",4090,https://50cdn.gjirafamall.tech/images/bcbaa16f-569e-4f4d-a7dd-644c791eb339/bcbaa16f-569e-4f4d-a7dd-644c791eb339.jpeg,gjirafa50,no
"меморија  G.Skill Aegis, DDR3, 8 GB, 1600 MHz, CL11, F3-1600C11S-8GIS",4090,https://50cdn.gjirafamall.tech/images/a954ecc1-d8b5-40ed-a8bc-02be20c51792/a954ecc1-d8b5-40ed-a8bc-02be20c51792.jpeg,gjirafa50,yes
"меморија  HIKSEMI Hiker, DDR5, 16 GB, 6200 MHz, CL34, HSC516U62Z1",4390,https://50cdn.gjirafamall.tech/images/79e37bfe-0e41-401c-8c95-b45d8bb43b0b/79e37bfe-0e41-401c-8c95-b45d8bb43b0b.jpeg,gjirafa50,no
Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8,4499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27780_Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8-01JY3V8SSMRYC774K8YVA2Z9JN.jpg,setec,yes
RAM DIMM Kingston 8GB DDR4 3200Mhz CL22,4499,https://www.neptun.mk/2026/08/28/image-Photoroom-2026-08-27T144454.419_f404b73d-968f-4ab3-9a46-06cf9dab1e64.png,neptun,no
"RAM меморија CoreParts 8GB DDR4, 2666MHz, модул 1x8GB, зелена",4590,https://50cdn.gjirafamall.tech/images/31ab1a0b-86f0-4484-8889-674d8236532e/31ab1a0b-86f0-4484-8889-674d8236532e.jpeg,gjirafa50,no
"GOODRAM DDR4 Мемориски Модул, 16GB, 2400MHz, CL17",4690,https://50cdn.gjirafamall.tech/images/d59ac8a0-ca2c-4e3b-ad32-8dabdb094173/d59ac8a0-ca2c-4e3b-ad32-8dabdb094173.jpeg,gjirafa50,no
"Memorie RAM MicroMemory MMD2605/8GB, 8GB DDR3, 1600MHz PC3-12800",4690,https://50cdn.gjirafamall.tech/images/20a168e9-b260-4de7-8009-7426acf22b65/20a168e9-b260-4de7-8009-7426acf22b65.jpeg,gjirafa50,yes
Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8 BULK,4799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/61720_Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8 BULK-01K5TXX5PFWY1X2RJZW2X86JCC.jpg,setec,yes
RAM DIMM Kingston 8GB DDR4 3200MHz Fury Beast CL16,4899,https://www.neptun.mk/2024/11/12/Fury_5344b6b5-6a67-4e65-a080-3ada19d4b9f9.JPG,neptun,no
"меморија  Kingston ValueRAM, DDR4, 4 GB, 2666 MHz, CL19, KVR26N19S6/4",5090,https://50cdn.gjirafamall.tech/images/c9c7b938-119f-4f13-955a-4b002ce2bff8/c9c7b938-119f-4f13-955a-4b002ce2bff8.jpeg,gjirafa50,no
"меморија  Patriot Viper 3, DDR3, 16 GB, 1600 MHz, CL9, PV316G160C9K",5190,https://50cdn.gjirafamall.tech/images/3e995914-5012-4798-a650-1c4e12b6a901/3e995914-5012-4798-a650-1c4e12b6a901.jpeg,gjirafa50,yes
"Меморија RAM PNY MD8GSD42666-SB, 8GB, DDR4 2666MHz, DIMM",5290,https://50cdn.gjirafamall.tech/images/35ae7321-a989-4d67-8c5a-eb0b8a1db0b4/35ae7321-a989-4d67-8c5a-eb0b8a1db0b4.jpeg,gjirafa50,yes
"меморија  HIKSEMI Hiker, DDR5, 16 GB, 4800 MHz, CL40, HSC516U48Z1",5290,https://50cdn.gjirafamall.tech/images/1d223c7f-b168-4d33-a447-750e1d38dee6/1d223c7f-b168-4d33-a447-750e1d38dee6.jpeg,gjirafa50,no
Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast RGB,5299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34965_0-01JWDY60NY5W39S0PV4B8222H6.webp,setec,yes
"RAM меморија Innovation IT Inno8G3000s DDR4, 8GB, 3000MHz, CL16",5390,https://50cdn.gjirafamall.tech/images/f34fd7ea-7616-4561-89da-6ce1a818099c/f34fd7ea-7616-4561-89da-6ce1a818099c.jpeg,gjirafa50,no
"Десктоп RAM меморија Innovation IT, 8GB, DDR4 3200MHz, со распрскувач на топлина",5590,https://50cdn.gjirafamall.tech/images/ff858e59-8852-42d2-ae56-b1580b52563e/ff858e59-8852-42d2-ae56-b1580b52563e.jpeg,gjirafa50,yes
"Оперативна меморија G.Skill (F4-2666C19S-8GNT), DDR4, 8 GB, 2666 MHz, CL19",5590,https://50cdn.gjirafamall.tech/images/cdff971f-35ff-4c25-b1d3-1924521165fe/cdff971f-35ff-4c25-b1d3-1924521165fe.jpeg,gjirafa50,no
Kingston 8GB 3200MHz DDR4 CL16 DIMM Renegade Black RGB,5599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88643_Kingston%208GB%203200MHz%20DDR4%20CL16%20DIMM%20Renegade%20Black%20RGB-01KJCS89JZWFJQZX2PGRHD9ZZJ.jpg,setec,yes
"Мемориска RAM PNY MD8GSD43200 SB, 8GB DDR4, 3200MHz, DIMM",5690,https://50cdn.gjirafamall.tech/images/71db126b-0484-4d1f-88cf-c3876c8b5cd6/71db126b-0484-4d1f-88cf-c3876c8b5cd6.jpeg,gjirafa50,no
"меморија  Kingston Fury Beast, DDR5, 16 GB, 5600 MHz, CL40, KF556C40BW-16",5790,https://50cdn.gjirafamall.tech/images/832327d7-0ba8-4ff2-b47b-310560430432/832327d7-0ba8-4ff2-b47b-310560430432.jpeg,gjirafa50,no
Silicon Power 16GB DDR4 3200MHz CL22,5799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63850_Silicon Power 16GB DDR4 3200MHz CL22-01K8JAGRPD965WZE3QRNGWR2WG.jpg,setec,no
"меморија  Kingston Fury Beast, DDR4, 32 GB, 3600 MHz, CL18, KF436C18BB/32",5990,https://50cdn.gjirafamall.tech/images/65c0957c-4d9e-4259-b8d0-80bedcda4e07/65c0957c-4d9e-4259-b8d0-80bedcda4e07.jpeg,gjirafa50,no
Crucial Apacer 16 GB DDR4-RAM PC3200 Apacer Value 1x16GB Bulk,5999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88443_Apacer 16 GB DDR4-RAM PC3200 Apacer Value 1x16GB Bulk-01KA8D8MBC50AJ1EPHTG1Y4YYD.jpg,setec,no
"Оперативна меморија Kingston Fury Beast, DDR4, 2666 MHz, CL 16, 16 GB",6090,https://50cdn.gjirafamall.tech/images/6e886f28-4be2-4699-94b1-6deb071345ab/6e886f28-4be2-4699-94b1-6deb071345ab.jpeg,gjirafa50,no
"меморија  GoodRam IRDM X, DDR4, 32 GB, 3200 MHz, CL16, IR-X3200D464L16A/32GDC",6190,https://50cdn.gjirafamall.tech/images/444e0fff-cf57-4fd4-9ffc-e357c26d2526/444e0fff-cf57-4fd4-9ffc-e357c26d2526.jpeg,gjirafa50,no
"Меморија RAM Lenovo 0A65729, 4GB DDR3, 1600MHz",6290,https://50cdn.gjirafamall.tech/images/b3786db0-7bfb-4124-b1e0-e499d1cd08a9/b3786db0-7bfb-4124-b1e0-e499d1cd08a9.jpeg,gjirafa50,no
"меморија  G.Skill Aegis, DDR3, 16 GB, 1333 MHz, CL9, F3-1333C9D-16GIS",6350,https://50cdn.gjirafamall.tech/images/ce5d3bb2-ed17-48ef-a276-299bb5d3702d/ce5d3bb2-ed17-48ef-a276-299bb5d3702d.jpeg,gjirafa50,yes
"меморија  G.Skill Aegis, DDR3, 16 GB, 1600 MHz, CL11, F3-1600C11D-16GIS",6350,https://50cdn.gjirafamall.tech/images/2a5e10c0-6556-4947-864a-298e4c278899/2a5e10c0-6556-4947-864a-298e4c278899.jpeg,gjirafa50,yes
"меморија  G.Skill RipjawsX, DDR3, 8 GB, 1600 MHz, CL10, F312800CL10S8GBXL",6390,https://50cdn.gjirafamall.tech/images/3e1c608e-d320-4cc4-bef8-37598039bb0d/3e1c608e-d320-4cc4-bef8-37598039bb0d.jpeg,gjirafa50,yes
"Меморија РАМ Kingston HyperX Blu, 16GB DDR3 1600MHz, комплет 2x8GB, сина",6490,https://50cdn.gjirafamall.tech/images/46f2feb7-0267-4f36-bd29-f4a7343704b8/46f2feb7-0267-4f36-bd29-f4a7343704b8.jpeg,gjirafa50,no
Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast Black,6499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27922_Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast Black-01JY3VBWERCY1M5Y597H1ME92W.jpg,setec,yes
AFOX RAM 16GB DDR4 3200Mhz,6599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63510_AFOX RAM 16GB DDR4 3200Mhz-01KERPFPDB13R5SZHY7P1XSR96.jpg,setec,yes
