name,price_mkd,image_url,source,in_stock
GPU ASUS Prime Radeon RX 9060 XT 16GB GDDR6 OC Edition 3 Fan 2xDP/HDMI (PRIME-RX9060XT-O16G),32999,https://www.neptun.mk/2026/07/09/fwebp_dde04be9-d79a-4d73-8505-3554b4e14592.png,neptun,no
GPU ASUS TUF Gaming GeForce RTX 5060 OC Edition 8GB GDDR7 3xDP/HDMI,25999,https://www.neptun.mk/2026/07/01/gpu-rtx-5060-tuf_37891cca-12bd-4f05-bcc0-bd483d1bdf81.png,neptun,no
GPU Gigabyte GeForce RTX 5080 WINDFORCE SFF 16GB GDDR7 3xDP/HDMI,89999,https://www.neptun.mk/2026/03/30/image-Photoroom-2026-03-30T142914.075_3cb17b1c-9fe3-4cee-9501-c59d1ad7a8f4.png,neptun,no
GPU MSI GeForce RTX 5070 Ti VENTUS 3X OC 3 Fan 16GB GDDR7 3xDP/HDMI,64999,https://www.neptun.mk/2026/03/30/image-Photoroom-2026-03-27T135424.089_1a5fb563-5f21-4f1a-a54d-dbf75e1cbf30.png,neptun,no
GPU MSI GeForce RTX 5080 VENTUS 3X OC 3 Fan 16GB GDDR7 3xDP/HDMI,89999,https://www.neptun.mk/2026/03/30/image-Photoroom-2026-03-27T135136.942_94e0243e-361f-4f42-a5a1-77d34770f91a.png,neptun,no
GPU Gigabyte Radeon RX 9060 XT GAMING OC 3 Fan 16GB GDDR6 2xDP/HDMI,29999,https://www.neptun.mk/2026/03/27/image-Photoroom-2026-03-26T152300.647_03d6ff82-2e02-46bd-99c8-178838d7a00a.png,neptun,no
GPU Gigabyte GeForce RTX 5080 GAMING OC 16GB GDDR7 3xDP/HDMI,94999,https://www.neptun.mk/2026/03/16/image-Photoroom-2026-03-15T191724.691_c351446f-5687-4dec-8ba8-7fb475ad0f2f.png,neptun,no
GPU Gigabyte GeForce RTX 5070 Ti WINDFORCE SFF 16GB GDDR7 3xDP/HDMI,63999,https://www.neptun.mk/2026/01/23/image-Photoroom-2026-01-22T161109.716_c4bb72ed-ff41-49c1-9e1c-0e94085b2fba.png,neptun,no
GPU MSI RTX 5060 Ti Ventus 2X OC 8GB GDDR7 3xDP/HDMI,26999,https://www.neptun.mk/2025/11/13/image-Photoroom192_9459fb0d-baf3-400d-9ec4-412a10a79e26.png,neptun,no
GPU ASUS Dual GeForce RTX 5060 Ti OC Edition 8GB GDDR7 3xDP/HDMI (DUAL-RTX5060TI-O8G),26999,https://www.neptun.mk/2025/09/24/image-Photoroom1159_5dcdfdf1-728f-4e00-afac-a8cb61fa7b0d.png,neptun,no
