name,price_mkd,image_url,source,in_stock
RAM DIMM Kingston 8GB DDR4 3200Mhz CL22,4499,https://www.neptun.mk/2026/08/28/image-Photoroom-2026-08-27T144454.419_f404b73d-968f-4ab3-9a46-06cf9dab1e64.png,neptun,no
RAM DIMM Kingston 48GB DDR5 5600MHz CL46,30999,https://www.neptun.mk/2026/08/28/image-Photoroom-2026-08-27T144813.083_38c73e68-884e-45c4-9521-70c5cce669bf.png,neptun,no
RAM DIMM Kingston 16GB (2x8GB Kit) DDR4 3200Mhz Fury Beast RGB CL16,9499,https://www.neptun.mk/2026/08/20/image-Photoroom-2026-08-19T132550.580_c5ec3ec7-d4f9-40cd-bd01-5de9dacae514.png,neptun,no
RAM DIMM Kingston 16GB DDR5 6400MHz Fury Beast EXPO CL32,16999,https://www.neptun.mk/2026/06/08/image-Photoroom-2026-06-08T003659.519_7c3c7745-84cf-498a-a78e-daea4c626a70.png,neptun,no
RAM DIMM Kingston 16GB DDR4 3600MHz Fury Beast RGB CL18,9499,https://www.neptun.mk/2026/01/08/image-Photoroom-2026-01-07T231109.245_a467f4ea-f25a-4b91-b12c-51410f489856.png,neptun,no
RAM DIMM Kingston 16GB DDR5 5600MHz CL46,11999,https://www.neptun.mk/2025/12/11/image-Photoroom-2025-12-10T154345.910_c41c5d0c-aa6e-432e-b26b-5d8055d59de1.png,neptun,no
RAM DIMM Kingston 32GB DDR5 6000MHz Fury Beast Black CL30,25999,https://www.neptun.mk/2025/10/31/image-Photoroom152_ae00ceac-5aee-4485-95f6-cda6dcaf01a6.png,neptun,no
RAM DIMM Kingston 16GB DDR5 5600MHz Fury Beast RGB CL40,16999,https://www.neptun.mk/2025/10/13/image-Photoroom1224_02775ac2-0150-49e9-b90f-b5444fcfabf6.png,neptun,no
RAM DIMM Kingston 16GB DDR5 6400MHz Fury Renegade RGB CL32,17999,https://www.neptun.mk/2025/10/13/image-Photoroom1225_90a2eb82-2ecd-442a-8686-0dd242d6f75f.png,neptun,no
RAM DIMM Kingston 16GB DDR5 6000MHz EXPO Fury Beast CL30,15999,https://www.neptun.mk/2025/02/13/expo_173bad18-022b-4c46-8af1-e977205dd62a.jpg,neptun,no
RAM DIMM Kingston 16GB DDR5 6000MHz EXPO Fury Beast CL36,14999,https://www.neptun.mk/2024/12/25/kingston16gbcl36single_17fbec66-1ae1-4df8-9286-47246e587fb0.jpg,neptun,no
RAM DIMM Kingston 32GB DDR5 5600MHz Fury Beast CL40,26999,https://www.neptun.mk/2024/11/12/KF556C40BB_3df33dc4-af7b-453f-bd8d-9940ae55df6d.JPG,neptun,no
RAM DIMM Kingston 16GB DDR5 5600MHz EXPO Fury Beast CL36,13999,https://www.neptun.mk/2024/11/12/KF556C36BBE_9e07652c-015e-4b6d-b7ca-be2b75add158.JPG,neptun,no
RAM DIMM Kingston 8GB DDR4 3200MHz Fury Beast CL16,4899,https://www.neptun.mk/2024/11/12/Fury_5344b6b5-6a67-4e65-a080-3ada19d4b9f9.JPG,neptun,no
RAM DIMM Kingston 16GB DDR4 3200MHz Fury Beast CL16,8999,https://www.neptun.mk/2024/10/31/PK0001231793_dafa9fa4-751b-420c-baa3-a7efb5b7447d.webp,neptun,no
