name,price_mkd,image_url,source,in_stock
Intel Celeron G3900 2.9GHz Tray,1999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/33483_0-01JVW5WP5NR73A26KXM84ZVWS2.webp,setec,no
AMD A6-Series X2 5400K 3.60GHz,2999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34337_0-01JWR73D8SSGX4HX8C7W1YKA09.webp,setec,no
CPU AMD Ryzen 5 5500 TRAY,3399,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63804_CPU AMD Ryzen 5 5500 TRAY-01K808MHGHKJW4QZ5H7VVCF787.jpg,setec,no
Intel Core i3 12100F TRAY LGA1700 12MB Cache 3,3499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/62420_0-01JWDZE7D2SP4NTKPJNZN1MEG2.webp,setec,no
Intel i3-10100F 3.6 GHz up to 4.3 GHz,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/33488_0-01JWDY5S0NHDR4AVCGNTV2S9AH.webp,setec,yes
CPU AMD AM4 Ryzen 5 3400G Box 3.7GHz  MAX Boost 4.2GHz 6MB,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34391_CPU%20AMD%20AM4%20Ryzen%205%203400G%20Box%203.7GHz%20MAX%20Boost%204.2GHz%206MB%2065W%20Radeon%20RX%20Vega%2011-01KXQP9BG51C9M6RM5Y2ZPKBTN.jpg,setec,yes
CPU AMD Ryzen 5 5500 TRAY,4999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63805_CPU AMD Ryzen 5 5500 TRAY-01K808EDKW5FVS6R29MM9H5BX5.jpg,setec,yes
CPU AMD Ryzen 5 5500 BOX,5499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88472_CPU%20AMD%20Ryzen%205%205500%20BOX-01KGPGMRWS7ZTB3YZAAA441PAE.jpg,setec,yes
Intel i3-14100F BOX LGA1700 12MB Cache 4.7GHz,6999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/58510_0-01JVA76XPJ0ZFAYR6MDP6D868N.webp,setec,yes
CPU AMD Ryzen 5 8400F AM5 / 65W TRAY,6999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63634_CPU AMD Ryzen 5 8400F AM5 TRAY-01K62DWB926BS3A13TYEP6VMFS.jpg,setec,yes
CPU AMD Ryzen 5 5600X Box,7499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34403_0-01JVYC84NVHFZFEMGKEPPSR9MC.webp,setec,yes
CPU AMD Ryzen 5 7500F AM5 / 65W TRAY,7599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59387_0-01JVYCKRNVMPSZR34FJ45C73RK.webp,setec,yes
Intel i5-14400F TRAY LGA 1700 20MB Cache 4.7GHz,9299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/Intel%20i5-14400F%20TRAY%20LGA%201700%2020MB%20Cache%204.7GHz_63357-01M005DXFQXV949B0MKNXHDDTB.png,setec,yes
CPU AMD Ryzen 5 7600X no fan BOX,9499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34418_0-01JVYC8533S3X2C3Z4VHF3NV40.webp,setec,yes
CPU AMD Ryzen 7 5700X Tray (No Cooler),9499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63078_CPU AMD Ryzen 7 5700X Tray-01JXW9TA5QDDK5209M41NVCYC2.jpg,setec,yes
CPU AMD Ryzen 5 7600X TRAY,10799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/57776_CPU AMD Ryzen 5 7600X TRAY-01K7KE8HK0M3CZN0A5BDV7WF0P.jpg,setec,no
Intel i3-14100 BOX LGA1700 12MB Cache 4.7GHz,10999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63230_Intel i3-14100 LGA1700 12MB Cache 4.7GHz-01JZN14Q97WVQVH80TKSVXVY4S.jpg,setec,yes
CPU AMD Ryzen 5 7600 MPK (Tray + Original Cooler),10999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63351_CPU AMD Ryzen 5 7600 MPK (Tray + Original Cooler)-01K10T9Q4KTC8TKNKX9CMDV1S6.jpg,setec,yes
Intel Core Ultra 5 245KF no fan BOX,10999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/61655_Intel%20Core%20Ultra%205%20245KF%20no%20fan%20BOX-01KT1AJK0R7917GBYVDMANDKXV.jpg,setec,yes
Intel i5-14400F BOX LGA 1700 20MB Cache 4.7GHz,11499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/58943_0-01JVW68J8M0VGS6B5Z84666GDV.webp,setec,yes
CPU AMD Ryzen 7 7700X 4.50GHZ 8 CORE/SKT AM5 /  105W up to 142W TRAY SP,13499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63350_CPU AMD Ryzen 7 7700X 4.50GHZ 8 CORE_SKT AM5 40MB 105W TRAY SP-01K10T25YJ5H5QF00QC7D3QP8M.jpg,setec,yes
CPU AMD Ryzen 5 7500X 3D Tray,13499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88506_CPU AMD Ryzen 5 7500X 3D Tray-01KCR85BR0QCY9DWQMXCV69D71.jpg,setec,yes
Intel Core Ultra 5 250KF Plus no fan BOX,13999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88756_Intel%20Core%20Ultra%205%20250KF%20no%20fan%20BOX-01KR15W4J1MMV6NHCPFGAAX5G8.jpg,setec,yes
CPU AMD Ryzen 7 5700X 3D no fan Box,14799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59069_0-01JVYCQQ3VMZ6D29YMEPSVKFJ9.webp,setec,no
CPU AMD Ryzen 7 7700X no fan Box,14999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34419_0-01JVYC85EBZC7ZZCWST1JVAN17.webp,setec,no
CPU AMD Ryzen 5 7500X 3D 4.5GHz / 6 Core / 102MB /  AM5 / 65W,14999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88414_CPU AMD Ryzen 5 7500X 3D 4.5GHz _ 6 Core _ 102MB _ AM5 _ 65W-01KA0V76TTNWWQC022Q2PZGNWT.jpg,setec,yes
