name,price_mkd,image_url,source,in_stock
Cooler Master CoolerMaster 1-to-3 RGB Splitter Cable for LED Strips,645,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/22796_0-01JVA6JJHQD3WEHZPQWNAHHXJH.webp,setec,yes
Cooler Master CoolerMaster Riser Cable PCI-E 3.0 x16 - 200mm,1995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/22825_0-01JVYC7Z4TKPCQC7Q52RRNJYP3.webp,setec,yes
Cooler Master CoolerMaster Riser Cable PCI-E 3.0 x16 - 300mm,2499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/22794_0-01JVA6JJ67T9GYEHQ2XM0BWS8E.webp,setec,yes
AFOX Geforce GT710,3195,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17269_0-01JVA6DSCKQMKH88HG91BCMZC2.webp,setec,yes
ASUS GT710-SL-2GD5-BRK-EVO,3899,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17682_0-01JWR730KAMTD33XMNWBNTEDBB.webp,setec,yes
AFOX Geforce GT730,3999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17404_0-01JVW5KFG104E3AWNHHWFC4QNV.webp,setec,yes
AFOX NVIDIA GT730-PCI-E 1GB DDR3 (128-bit),4399,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17353_0-01JVW5KCJ6HAZ9GZAG4FNFQ7GP.webp,setec,yes
Cooler Master CoolerMaster Riser Cable PCIe 4.0 x16 -300mm V2,4499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/22944_CoolerMaster Riser Cable PCIe 4.0 x16 -300mm V2-01KBHNGKY08R32T3HGSH2A1NX3.jpg,setec,yes
ASUS  GT730-SL-2GD3-BRK-EVO,4799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17416_0-01JVW5KG6FZTF5R7R5EQ17442J.webp,setec,yes
Cooler Master CoolerMaster Riser Cable PCIe 4.0 x16,4799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/22946_CoolerMaster%20Riser%20Cable%20PCIe%204.0%20x16-01KMMN6SB2JM9MYQPN7MZM9JVV.jpg,setec,yes
AFOX NVIDIA GT740 4GB DDR3,4995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17381_0-01JVW5KF5JTWEQ8G5R5C1WP4SP.webp,setec,no
ASUS GT730-4H-SL-2GD5,4999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17357_ASUS%20GT730-4H-SL-2GD5-01KM049CFDRP3ZWQYXD4HVQBN6.jpg,setec,yes
ASUS GT730-SL-2G-BRK-V2,5199,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17035_0-01JVY7ANB27FJFHJMHJX1EJXS1.webp,setec,yes
ASUS GT730-2GD5-BRK,5199,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/16934_0-01JVW5K8M5QR30Z3184WTX5P3H.webp,setec,yes
AFOX AMD Radeon RX550 4GB GDDR5,5995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17734_0-01JWDZBVH1GEWW32269FRTBS27.webp,setec,yes
ASUS PH-RX550-4G-EVO,7299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17409_0-01JVA6DZ2NEZW82X6CRHXDJRD9.webp,setec,yes
AFOX AMD Radeon RX550 8GB GDDR5,7495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17410_AFOX AMD Radeon RX550 8GB GDDR5-01KGHDA5F0PTRK1SQM4G186RDM.jpg,setec,no
ASUS PH-RX6400-4G,8495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17380_0-01JVW5KEV3N6DVG8DV63M0RZF9.webp,setec,yes
AFOX RX550 4GB GDDR5 128BIT,8999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17354_0-01JVW5KCZE41Z4K4FSDMBFS7Z3.webp,setec,yes
ASUS PH-GTX1050TI-4G,9995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/16939_0-01JVW5K90YVEAHMFVG3Y3KXA42.webp,setec,yes
ASUS DUAL-RX6500XT-O4G,9995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17386_0-01JVA6DWP1Q8PHQJ9YDGRXABDM.webp,setec,no
ASUS DUAL-GTX1630-O4G,9995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17394_0-01JVYC43D7YVGA4DFXHHMFQ5BN.webp,setec,yes
AFOX NVIDIA Geforce GTX1660Super,12999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17427_0-01JVA6E0Z6EBQEK33TFRTJGZEY.webp,setec,no
AFOX AMD Radeon RX5500,13299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88645_AFOX%20AMD%20Radeon%20RX5500-01KJCR41ERKVA1NQAD7DXRM20B.jpg,setec,yes
Gigabyte GTX1050 TI LP 4GB GDDR5 HDMI DVI DP,13999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17331_0-01JVW5KBH2QVMGGC8FVQN1H41P.webp,setec,yes
ASUS DUAL-RTX3050-O6G,14599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17511_0-01JVA6EJEFRAZBPJY9MHDVFVTJ.webp,setec,yes
ASUS DUAL-GTX1660S-O6G-EVO,14995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17087_0-01JVYC3REESDVVQG8EH2KMCGV9.webp,setec,no
AFOX RX580 8GB GDDR5 256BIT,15995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17319_0-01JVA6DV1TZ43FNSCR9KXZS2T2.webp,setec,yes
ASUS DUAL-RTX3050-O8G-V2,16499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17425_0-01JVW5KHWN7X7WEWC7R1QE6NPX.webp,setec,yes
AFOX AMD RX6600 8GB,16995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17698_0-01JVA6G1P8SFBV819W39W1KMHE.webp,setec,no
ASUS TUF-GTX1660TI-O6G-EVO-GAMING,16999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17252_0-01JWR725T82A3CER36KTSA2940.webp,setec,no
ASUS DUAL-RX7600-O8G-V2,17495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17421_0-01JVA6E0JP3A6SCRDY9H3AZQ2Q.webp,setec,no
ASUS DUAL-RTX5050-O8G,18499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17757_ASUS DUAL-RTX5050-O8G-01K21RE4KGTPWA3Z84TKPXVPHD.jpg,setec,yes
ASUS DUAL-RX7600-O8G-EVO,19499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17724_0-01JVA6G7Y1PD800RKTYYD5G79G.webp,setec,yes
ASUS PRIME-RTX5050-O8G,19999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88539_ASUS PRIME-RTX5050-O8G-01KDZ5RESYVSGE17S60ZYC9KNA.png,setec,yes
AFOX AMD RX6650XT 8GB,20499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17699_0-01JVA6G26Q9JX8DNZVVBZP6RR4.webp,setec,yes
ASUS DUAL-RTX4060TI-O8G,23995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17415_0-01JVW5KFTN4E7128AP9DK30GSX.webp,setec,yes
ASUS DUAL-RTX4060TI-O8G-EVO,23995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17623_0-01JVW5KT0RA61C5G60176TW4X6.webp,setec,yes
ASUS DUAL-RTX5060-O8G,23999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17751_ASUS DUAL-RTX5060-O8G-01JXW9HBFF2W4YXAJYF4JX1XQV.jpg,setec,yes
ASUS DUAL-RTX5060-O8G-WHITE,24499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88801_ASUS%20DUAL-RTX5060-O8G-WHITE-01KVA90RGP9BRGS0QWV52Z8D9C.jpg,setec,yes
ASUS DUAL-RTX4060TI-O8G-WHITE,24995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17435_0-01JVA6E30BZEFN38EEVDVS7KBQ.webp,setec,yes
ASUS PRIME-RTX5060-O8G,24999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17754_ASUS%20PRIME-RTX5060-O8G-01KMMQPKMYQ9SBTP1A3S5FNRTQ.jpg,setec,yes
ASUS DUAL-RX9060XT-8G,25495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17746_0-01JXD39PAR71R3ND89T2YB9GMR.jpg,setec,yes
ASUS DUAL-RTX4060TI-O8G-SSD,25995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17690_0-01JVA6FZ7ER8TPXQ13RVZASKK1.webp,setec,yes
ASUS TUF-RTX5060-O8G-GAMING,25999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17753_ASUS TUF-RTX5060-O8G-GAMING-01JZA8VP6EEEX07R3QR85WDAR2.jpg,setec,yes
MSI Manli RTX3070 Twin 8GB,26995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17338_0-01JVW5KBVZD4YY4KDJ3D6RS8D2.webp,setec,yes
ASUS DUAL-RTX5060TI-O8G,30599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88591_ASUS%20DUAL-RTX5060TI-O8G-01KMMS1BMNEFTN9AY711P71QAM.jpg,setec,yes
ASUS PRIME-RX9060XT-O16G,32999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88463_ASUS PRIME-RX9060XT-O16G-01KBCEZN7J8NKDF49REXCC8HD9.jpg,setec,no
ASUS PRIME-RTX5060TI-O16G,39999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17750_ASUS%20PRIME-RTX5060TI-O16G-01KSHKR7M8QGAZR5B1VSSRG10Z.jpg,setec,yes
ASUS PRIME-RX9070GRE-O12G,39999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88799_ASUS%20PRIME-RX9070GRE-O12G-01KVA951SFG2JK1KRAPJRKEFYJ.jpg,setec,yes
Inno3D GeForce RTX 5070 12GB GDDR7 Twin X2 OC,40995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17733_0-01JWDZBTFAQPJAWYCZ279YGMVW.webp,setec,no
ASUS TUF-RTX5060TI-O16G-GAMING,41999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17752_ASUS TUF-RTX5060TI-O16G-GAMING-01JZA8Y2QP6PR3J6M84YGZVJZV.jpg,setec,no
ASUS DUAL-RTX5060TI-O16G,41999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88429_ASUS%20DUAL-RTX5060TI-O16G-01KQY52F3HWEEXXDYWJZWT5XXK.jpg,setec,yes
ASUS PROART-RTX4070TI-12G (Bulk packing),44995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17437_0-01JVW5KK80598GG5CWP7PHA6MC.webp,setec,yes
ASUS PRIME-RTX5070-O12G,46999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17730_0-01JWDZBSG9PNZRVX3A4QP4QXRT.webp,setec,yes
ASUS PRIME-RTX5070-O12G White,47999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88617_ASUS%20PRIME-RTX5070-O12G%20White-01KH63DN98YG9Z51VTPBE7G7RC.jpg,setec,yes
ASUS PRIME-RX9070-O16G,48999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88589_ASUS%20PRIME-RX9070-O16G-01KGPHWA46T1Y5MPRSK9V7EMGJ.jpg,setec,yes
ASUS TUF-RTX5070-O12G-GAMING,49999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17725_0-01JWDZBR2B5CW7DE5MZ8CKAWW6.webp,setec,yes
ASUS PRIME-RX9070XT-O16G,52999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17723_0-01JVA6G7HPSSRX3ZM7N82WPV5A.webp,setec,yes
ASUS DUAL-RTX5070-O12G,53999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/ASUS%20DUAL-RTX5070-O12G_88936-01M1GHJGJJ2T4VNWZZH7JWYXDR.png,setec,no
ASUS TUF-RX9070XT-O16G-GAMING,54999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17729_0-01JWDZBQEXV817D5F6GDB9BTC5.webp,setec,yes
Asrock Radeon RX 6700XT Challenger D 12GB,61999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17216_0-01JVA6DQ5219XFBSXCTREKK9DB.webp,setec,no
EVGA KFA2 RTX3060 EX 12GB,64999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17188_0-01JVA6DPJBM12GG69F03G5H5CK.webp,setec,no
GIGABYTE  RTX 5070 TI 16GB Windforce OC V2,67995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88650_GIGABYTE%20RTX%205070%20TI%2016GB%20Windforce%20OC%20V2-01KJF8B17SFNS5K4S1YPBTKPHZ.jpg,setec,yes
ASUS PRIME-RTX5070TI-O16G,67999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17719_0-01JVA6G6DDYY7YK2WRM622SQ7V.webp,setec,yes
ASUS TUF-RTX5070TI-O16G-GAMING,67999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17722_ASUS%20TUF-RTX5070TI-O16G-GAMING-01KSHKWJGAB806E452WWG01CG0.jpg,setec,no
MSI Asrock Radeon RX 6700XT Phantom Gaming D 12GB OC,68199,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17218_0-01JVA6DQJQ6MMKHH46PH39TE9Z.webp,setec,no
ASUS ROG-STRIX-RTX5070TI-O16G-GAMING,72999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88723_ASUS%20ROG-STRIX-RTX5070TI-O16G-GAMING-01KN1DP5Z6B7KC3Q7DRZMHPXGB.jpg,setec,no
GIGABYTE GeForce RTX 5080 AERO OC Gaming,93999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88712_GIGABYTE%20GeForce%20RTX%205080%20AERO%20OC%20Gaming-01KMFHS1MPC1Q565YYWHEPH3H2.jpg,setec,yes
ASUS PRIME-RTX5080-O16G,99999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88590_ASUS%20PRIME-RTX5080-O16G-01KK1NSP4ZV27RQMR8003QGCS1.jpg,setec,yes
ASUS TUF-RTX5080-O16G-GAMING,104999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17707_0-01JVA6G4T17W9T2SGPAMJG8602.webp,setec,no
ASUS PROART-RTX5080-O16G,104999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88711_ASUS%20PROART-RTX5080-O16G-01KMFHDHDY46XG5WGF0S64XXF4.jpg,setec,yes
ASUS ROG-ASTRAL-RTX5080-O16G-GAMING,111999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17720_ASUS%20ROG-ASTRAL-RTX5080-O16G-GAMING-01KMG585G7WRF6KCP749MJFPQX.jpg,setec,no
ASUS TUF-RTX5090-O32G-GAMING,289999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/ASUS%20TUF-RTX5090-O32G-GAMING_17721-01KZTF6MP8EGTFCM5YCA721Q1T.png,setec,yes
ASUS ROG-ASTRAL-RTX5090-O32G-GAMING,299999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/ASUS%20ROG-ASTRAL-RTX5090-O32G-GAMING_17748-01KZTEN5QE9K5A46FJQ4J1H8SW.png,setec,yes
