name,price_mkd,image_url,source,in_stock
J&A 4GB 2400MHz DDR4 Non-ECC DIMM,699,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26565_0-01JVYEZR7VK442PXAYTA1Y37PG.webp,setec,yes
Kingston HyperX Blu 4GB 1600MHz (1x4GB) DDR3 Non-ECC CL9 240-pin DIMM,1049,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/25798_0-01JVYEZNNPWHR0SBCA7ZSF3G5C.webp,setec,no
Kingston 4GB 2666MHz DDR4 Non-ECC CL19 DIMM,1299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26753_0-01JVYF0CXKFQSSBNNK5T86T8FF.webp,setec,yes
ADATA DDR4 4GB 2666 MHz,1299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/28910_0-01JVYF0VTT2V5TNY12HYJVXVH3.webp,setec,yes
ADATA DDR4 4GB,1495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26927_0-01JVA6NBAG85WZV1AWXF9KCADZ.webp,setec,yes
ADATA DDR4 4GB 2666 MHz,1495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27899_0-01JVA6P0K8S7RH7BSCWY33YKRB.webp,setec,yes
ADATA DDR4 4GB,1495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27784_0-01JVA6NSP044BKVV81AC0JGZ0Y.webp,setec,yes
Kingston 8GB 1600MHz DDR3L 1.35V,2499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/26173_Kingston%208GB%201600MHz%20DDR3L%201.35V-01KVCTDNDQPZD1R9ES0PVYHVKV.jpg,setec,no
Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8,4499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27780_Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8-01JY3V8SSMRYC774K8YVA2Z9JN.jpg,setec,yes
Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8 BULK,4799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/61720_Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8 BULK-01K5TXX5PFWY1X2RJZW2X86JCC.jpg,setec,yes
Kingston 8GB 3200MHz DDR4 Non-ECC CL22 DIMM 1Rx8,4999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/32747_0-01JVA6SBBHSQEAXNJNBA31Y0MZ.webp,setec,yes
Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast RGB,5299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34965_0-01JWDY60NY5W39S0PV4B8222H6.webp,setec,yes
Kingston 8GB 3200MHz DDR4 CL16 DIMM Renegade Black RGB,5599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88643_Kingston%208GB%203200MHz%20DDR4%20CL16%20DIMM%20Renegade%20Black%20RGB-01KJCS89JZWFJQZX2PGRHD9ZZJ.jpg,setec,yes
Silicon Power 16GB DDR4 3200MHz CL22,5799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63850_Silicon Power 16GB DDR4 3200MHz CL22-01K8JAGRPD965WZE3QRNGWR2WG.jpg,setec,no
Crucial Apacer 16 GB DDR4-RAM PC3200 Apacer Value 1x16GB Bulk,5999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88443_Apacer 16 GB DDR4-RAM PC3200 Apacer Value 1x16GB Bulk-01KA8D8MBC50AJ1EPHTG1Y4YYD.jpg,setec,no
Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast Black,6499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27922_Kingston 8GB 3200MHz DDR4 CL16 DIMM FURY Beast Black-01JY3VBWERCY1M5Y597H1ME92W.jpg,setec,yes
AFOX RAM 16GB DDR4 3200Mhz,6599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63510_AFOX RAM 16GB DDR4 3200Mhz-01KERPFPDB13R5SZHY7P1XSR96.jpg,setec,yes
Kingston 8GB 3600MHz DDR4 CL17 DIMM Beast Black,6999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/27938_Kingston%208GB%203600MHz%20DDR4%20CL17%20DIMM%20Beast%20Black-01KRGDWD9ZT8JGDTJG1MYBDR8M.jpg,setec,yes
